,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,Age_missing_0
0,3,22,1,0,7.25,1,0,1,0
1,1,38,1,0,71.2833,0,0,0,0
2,3,26,0,0,7.925,0,0,1,0
3,1,35,1,0,53.1,0,0,1,0
4,3,35,0,0,8.05,1,0,1,0
5,3,28,0,0,8.4583,1,1,0,1
6,1,54,0,0,51.8625,1,0,1,0
7,3,2,3,1,21.075,1,0,1,0
8,3,27,0,2,11.1333,0,0,1,0
9,2,14,1,0,30.0708,0,0,0,0
10,3,4,1,1,16.7,0,0,1,0
11,1,58,0,0,26.55,0,0,1,0
12,3,20,0,0,8.05,1,0,1,0
13,3,39,1,5,31.275,1,0,1,0
14,3,14,0,0,7.8542,0,0,1,0
15,2,55,0,0,16.0,0,0,1,0
16,3,2,4,1,29.125,1,1,0,0
17,2,28,0,0,13.0,1,0,1,1
18,3,31,1,0,18.0,0,0,1,0
19,3,28,0,0,7.225,0,0,0,1
20,2,35,0,0,26.0,1,0,1,0
21,2,34,0,0,13.0,1,0,1,0
22,3,15,0,0,8.0292,0,1,0,0
23,1,28,0,0,35.5,1,0,1,0
24,3,8,3,1,21.075,0,0,1,0
25,3,38,1,5,31.3875,0,0,1,0
26,3,28,0,0,7.225,1,0,0,1
27,1,19,3,2,263.0,1,0,1,0
28,3,28,0,0,7.8792,0,1,0,1
29,3,28,0,0,7.8958,1,0,1,1
30,1,40,0,0,27.7208,1,0,0,0
31,1,28,1,0,146.5208,0,0,0,1
32,3,28,0,0,7.75,0,1,0,1
33,2,66,0,0,10.5,1,0,1,0
34,1,28,1,0,82.1708,1,0,0,0
35,1,42,1,0,52.0,1,0,1,0
36,3,28,0,0,7.2292,1,0,0,1
37,3,21,0,0,8.05,1,0,1,0
38,3,18,2,0,18.0,0,0,1,0
39,3,14,1,0,11.2417,0,0,0,0
40,3,40,1,0,9.475,0,0,1,0
41,2,27,1,0,21.0,0,0,1,0
42,3,28,0,0,7.8958,1,0,0,1
43,2,3,1,2,41.5792,0,0,0,0
44,3,19,0,0,7.8792,0,1,0,0
45,3,28,0,0,8.05,1,0,1,1
46,3,28,1,0,15.5,1,1,0,1
47,3,28,0,0,7.75,0,1,0,1
48,3,28,2,0,21.6792,1,0,0,1
49,3,18,1,0,17.8,0,0,1,0
50,3,7,4,1,39.6875,1,0,1,0
51,3,21,0,0,7.8,1,0,1,0
52,1,49,1,0,76.7292,0,0,0,0
